oid,hz,py,wb
250,埤,BI,FRT
251,芘,BI,AXX
252,荜,BI,AXXF
253,荸,BI,AFPB
254,萆,BI,ART
255,薜,BI,ANK
256,吡,BI,KXX
257,哔,BI,KXXF
258,狴,BI,QTXF
259,庳,BI,YRT
260,愎,BI,NTJT
261,滗,BI,ITT
262,濞,BI,ITHJ
263,弼,BI,XDJ
264,妣,BI,VXX
265,婢,BI,VRT
266,嬖,BI,NKUV
267,璧,BI,NKUY
268,贲,BI,FAM
269,睥,BI,HRT
270,畀,BI,LGJ
271,铋,BI,QNTT
272,秕,BI,TXX
273,裨,BI,PUR
274,筚,BI,TXXF
275,箅,BI,TLG
276,篦,BI,TTLX
277,舭,BI,TEX
278,襞,BI,NKUE
279,跸,BI,KHXF
280,髀,BI,MERF
281,变,BIAN,YKWY
282,边,BIAN,LP
283,便,BIAN,WGJ
284,编,BIAN,XIXT
285,遍,BIAN,YNM
286,辩,BIAN,UYU
287,扁,BIAN,YNMA
288,辨,BIAN,UYT
289,鞭,BIAN,AFW
290,贬,BIAN,MTP
291,卞,BIAN,YHI
292,辫,BIAN,UXU
293,匾,BIAN,AYNA
294,弁,BIAN,CAJ
295,苄,BIAN,AYH
296,忭,BIAN,NYHY
297,汴,BIAN,IYH
298,缏,BIAN,XWGQ
299,飚,BIAN,MQO
300,煸,BIAN,OYNA
301,砭,BIAN,DTP
302,碥,BIAN,DYNA
303,窆,BIAN,PWTP
304,褊,BIAN,PUYA
305,蝙,BIAN,JYNA
306,笾,BIAN,TKHT
307,鳊,BIAN,QGYA
308,彼,BIAN,THC
309,表,BIAO,GE
310,标,BIAO,SFI
311,彪,BIAO,HAME
312,膘,BIAO,ESF
313,勺,BIAO,QYI
314,婊,BIAO,VGEY
315,骠,BIAO,CSF
316,杓,BIAO,SQYY
317,飑,BIAO,MQQN
318,飙,BIAO,DDDQ
319,镖,BIAO,QSF
320,镳,BIAO,QYNO
321,瘭,BIAO,USF
322,裱,BIAO,PUGE
323,鳔,BIAO,QGS
324,髟,BIAO,DET
325,别,BIE,KLJ
326,鳖,BIE,UMIG
327,憋,BIE,UMIN
328,瘪,BIE,UTHX
329,蹩,BIE,UMIH
330,宾,BIN,PR
331,彬,BIN,SSE
332,斌,BIN,YGA
333,濒,BIN,IHIM
334,滨,BIN,IPR
335,摈,BIN,RPR
336,傧,BIN,WPR
337,豳,BIN,XXM
338,缤,BIN,XPR
339,玢,BIN,GWV
340,槟,BIN,SPR
341,殡,BIN,GQP
342,膑,BIN,EPR
343,镔,BIN,QPR
344,髌,BIN,MEPW
345,鬓,BIN,DEPW
346,并,BING,UA
347,病,BING,UGM
348,兵,BING,RGW
349,柄,BING,SGM
350,冰,BING,UI
351,丙,BING,GMW
352,饼,BING,QNU
353,秉,BING,TGV
354,炳,BING,OGM
355,屏,BING,NUA
356,禀,BING,YLKI
357,邴,BING,GMWB
358,摒,BING,RNUA
359,槟,BING,SPR
360,波,BO,IHC
361,播,BO,RTOL
362,剥,BO,VIJH
363,伯,BO,WR
364,拨,BO,RNT
365,薄,BO,AIG
366,博,BO,FGE
367,勃,BO,FAAF
368,驳,BO,CQQ
369,玻,BO,GHC
370,泊,BO,IR
371,柏,BO,SRG
372,卜,BO,HHY
373,菠,BO,AIH
374,钵,BO,QSG
375,搏,BO,RGEF
376,铂,BO,QRG
377,箔,BO,TIR
378,帛,BO,RMH
379,舶,BO,TER
380,脖,BO,EFP
381,膊,BO,EGEF
382,渤,BO,IFP
383,魄,BO,RRQC
384,孛,BO,FPBF
385,亳,BO,YPTA
386,啵,BO,KIH
387,饽,BO,QJGH
388,檗,BO,NKUS
389,掰,BO,RWVR
390,擘,BO,NKUR
391,礴,BO,DAI
392,钹,BO,QDCY
393,鹁,BO,FPBG
394,簸,BO,TADC
395,趵,BO,KHQY
396,跛,BO,KHHC
397,踣,BO,KHUK
398,不,BU,GI
399,部,BU,UKHU
400,步,BU,HIT
401,布,BU,DAWY
402,补,BU,PUH
403,捕,BU,RGE
404,埔,BU,FGEY
405,卜,BU,HHY
406,堡,BU,WKSF
407,哺,BU,KGE
408,埠,BU,FWN
409,簿,BU,TIG
410,怖,BU,NDM
411,卟,BU,KHY
412,逋,BU,GEHP
413,瓿,BU,UKG
414,晡,BU,JGEY
415,钚,BU,QGIY
416,钸,BU,QDMH
417,醭,BU,SRDF
418,擦,CA,RPWI
419,拆,CA,RRY
420,嚓,CA,KPW
421,礤,CA,DAW
422,采,CAI,ES
423,才,CAI,FT
424,材,CAI,SFT
425,菜,CAI,AE
426,财,CAI,MF
427,裁,CAI,FAY
428,彩,CAI,ESE
429,猜,CAI,QTGE
430,睬,CAI,HES
431,踩,CAI,KHES
432,蔡,CAI,AWF
433,参,CAN,CD
434,残,CAN,GDGN
435,蚕,CAN,GDJ
436,灿,CAN,OM
437,餐,CAN,HQ
438,惭,CAN,NL
439,惨,CAN,NCD
440,孱,CAN,NBB
441,骖,CAN,CCD
442,璨,CAN,GHQ
443,粲,CAN,HQCO
444,黪,CAN,LFOE
445,藏,CANG,ADNT
446,仓,CANG,WBB
447,苍,CANG,AWB
448,舱,CANG,TEW
449,沧,CANG,IWB
450,草,CAO,AJJ
451,槽,CAO,SGMJ
452,操,CAO,RKK
453,糙,CAO,OTF
454,曹,CAO,GMA
455,嘈,CAO,KGMJ
456,漕,CAO,IGMJ
457,螬,CAO,JGMJ
458,艚,CAO,TEGJ
459,测,CE,IMJ
460,策,CE,TGM
461,侧,CE,WMJ
462,册,CE,MM
463,厕,CE,DMJK
464,恻,CE,NMJ
465,参,CEN,CD
466,岑,CEN,MWYN
467,涔,CEN,IMW
468,层,CENG,NFC
469,曾,CENG,UL
470,蹭,CENG,KHUJ
471,查,CHA,SJ
472,差,CHA,UDA
473,插,CHA,RTF
474,察,CHA,PWFI
475,茶,CHA,AWS
476,叉,CHA,CYI
477,茬,CHA,ADHF
478,碴,CHA,DSJ
479,搽,CHA,RAWS
480,岔,CHA,WVMJ
481,诧,CHA,YPTA
482,刹,CHA,QSJ
483,喳,CHA,KKKK
484,嚓,CHA,KPW
485,猹,CHA,QTS
486,馇,CHA,QNS
487,汊,CHA,ICYY
488,姹,CHA,VPT
489,杈,CHA,SCYY
490,楂,CHA,SSJ
491,槎,CHA,SUDA
492,檫,CHA,SPWI
493,锸,CHA,QDTR
494,镲,CHA,QPWI
495,衩,CHA,PUC
496,差,CHAI,UDA
497,柴,CHAI,HXS
498,拆,CHAI,RRY
499,豺,CHAI,EEF
500,侪,CHAI,WYJ
501,钗,CHAI,QCY
502,瘥,CHAI,UUDA
503,虿,CHAI,DNJU
504,产,CHAN,URUJ
505,铲,CHAN,QUT
506,阐,CHAN,UUJ
507,搀,CHAN,RQKU
508,掺,CHAN,RCD
509,蝉,CHAN,JUJF
510,馋,CHAN,QNQU
511,谗,CHAN,YQK
512,缠,CHAN,XYJ
513,颤,CHAN,YLKM
514,冁,CHAN,UJFE
515,谄,CHAN,YQVG
516,蒇,CHAN,ADMT
517,廛,CHAN,YJF
518,忏,CHAN,NTFH
519,潺,CHAN,INBB
520,澶,CHAN,IYLG
521,孱,CHAN,NBB
522,羼,CHAN,NUDD
523,婵,CHAN,VUJ
524,骣,CHAN,CNB
525,觇,CHAN,HKM
526,禅,CHAN,PYUF
527,镡,CHAN,QSJH
528,蟾,CHAN,JQD
529,躔,CHAN,KHYF
530,长,CHANG,TA
531,常,CHANG,IPKH
532,场,CHANG,FNRT
533,厂,AN,DGT
534,唱,CHANG,KJJ
535,肠,CHANG,ENR
536,昌,CHANG,JJ
537,倡,CHANG,WJJG
538,偿,CHANG,WPUW
539,畅,CHANG,JIYJ
540,猖,CHANG,QTJJ
541,尝,CHANG,IPF
542,敞,CHANG,IMKT
543,裳,CHANG,IPKE
544,倘,CHANG,WIM
545,伥,CHANG,WTA
546,鬯,CHANG,QOB
547,苌,CHANG,ATA
548,菖,CHANG,AJJF
549,徜,CHANG,TIM
550,怅,CHANG,NTA
551,惝,CHANG,NIM
552,阊,CHANG,UJJD
553,娼,CHANG,VJJ
554,嫦,CHANG,VPYT
